event_name,r_fighter,b_fighter,weight_class,is_title_bout
The Ultimate Fighter: Team Bisping vs Team Miller Finale,Diego Brandao,Dennis Bermudez,Ultimate Fighter 14 Featherweight Tournament Title,1
The Ultimate Fighter: Team Bisping vs Team Miller Finale,TJ Dillashaw,John Dodson,Ultimate Fighter 14 Bantamweight Tournament Title,1
UFC on FOX: Velasquez vs Dos Santos,Cain Velasquez,Junior Dos Santos,UFC Heavyweight Title,1
UFC 136: Edgar vs Maynard 3,Frankie Edgar,Gray Maynard,UFC Lightweight Title,1
UFC 136: Edgar vs Maynard 3,Jose Aldo,Kenny Florian,UFC Featherweight Title,1
UFC Live: Cruz vs Johnson,Dominick Cruz,Demetrious Johnson,UFC Bantamweight Title,1
UFC 135: Jones vs Rampage,Jon Jones,Quinton Jackson,UFC Light Heavyweight Title,1
UFC 134: Silva vs Okami,Anderson Silva,Yushin Okami,UFC Middleweight Title,1
UFC 132: Cruz vs Faber,Dominick Cruz,Urijah Faber,UFC Bantamweight Title,1
The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,Ramsey Nijem,Tony Ferguson,Ultimate Fighter 13 Welterweight Tournament Title,1
UFC 129: St-Pierre vs Shields,Georges St-Pierre,Jake Shields,UFC Welterweight Title,1
UFC 129: St-Pierre vs Shields,Jose Aldo,Mark Hominick,UFC Featherweight Title,1
UFC 128: Shogun vs Jones,Mauricio Rua,Jon Jones,UFC Light Heavyweight Title,1
UFC 126: Silva vs Belfort,Anderson Silva,Vitor Belfort,UFC Middleweight Title,1
UFC 124: St-Pierre vs Koscheck 2,Georges St-Pierre,Josh Koscheck,UFC Welterweight Title,1
The Ultimate Fighter: Team GSP vs Team Koscheck Finale,Jonathan Brookins,Michael Johnson,Ultimate Fighter 12 Lightweight Tournament Title,1
UFC 121: Lesnar vs Velasquez,Brock Lesnar,Cain Velasquez,UFC Heavyweight Title,1
UFC 118: Edgar vs Penn 2,Frankie Edgar,BJ Penn,UFC Lightweight Title,1
UFC 117: Silva vs Sonnen,Anderson Silva,Chael Sonnen,UFC Middleweight Title,1
UFC 116: Lesnar vs Carwin,Brock Lesnar,Shane Carwin,UFC Heavyweight Title,1
The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Court McGee,Kris McCray,Ultimate Fighter 11 Middleweight Tournament Title,1
UFC 113: Machida vs Shogun 2,Lyoto Machida,Mauricio Rua,UFC Light Heavyweight Title,1
UFC 112: Invincible,Anderson Silva,Demian Maia,UFC Middleweight Title,1
UFC 112: Invincible,BJ Penn,Frankie Edgar,UFC Lightweight Title,1
UFC 111: St-Pierre vs Hardy,Georges St-Pierre,Dan Hardy,UFC Welterweight Title,1
UFC 111: St-Pierre vs Hardy,Frank Mir,Shane Carwin,UFC Interim Heavyweight Title,1
UFC 107: Penn vs Sanchez,BJ Penn,Diego Sanchez,UFC Lightweight Title,1
The Ultimate Fighter: Heavyweights Finale,Roy Nelson,Brendan Schaub,Ultimate Fighter 10 Heavyweight Tournament Title,1
UFC 104: Machida vs Shogun,Lyoto Machida,Mauricio Rua,UFC Light Heavyweight Title,1
UFC 101: Declaration,BJ Penn,Kenny Florian,UFC Lightweight Title,1
UFC 100,Brock Lesnar,Frank Mir,UFC Heavyweight Title,1
UFC 100,Georges St-Pierre,Thiago Alves,UFC Welterweight Title,1
The Ultimate Fighter: United States vs. United Kingdom Finale,James Wilks,DaMarques Johnson,Ultimate Fighter 9 Welterweight Tournament Title,1
The Ultimate Fighter: United States vs. United Kingdom Finale,Ross Pearson,Andre Winner,Ultimate Fighter 9 Lightweight Tournament Title,1
UFC 98: Evans vs Machida,Lyoto Machida,Rashad Evans,UFC Light Heavyweight Title,1
UFC 97: Redemption,Anderson Silva,Thales Leites,UFC Middleweight Title,1
UFC 94: St-Pierre vs Penn 2,Georges St-Pierre,BJ Penn,UFC Welterweight Title,1
UFC 92: The Ultimate 2008,Rashad Evans,Forrest Griffin,UFC Light Heavyweight Title,1
UFC 92: The Ultimate 2008,Frank Mir,Antonio Rodrigo Nogueira,UFC Interim Heavyweight Title,1
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Efrain Escudero,Phillipe Nover,Ultimate Fighter 8 Lightweight Tournament Title,1
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Ryan Bader,Vinny Magalhaes,Ultimate Fighter 8 Light Heavyweight Tournament Title,1
UFC 91: Couture vs Lesnar,Brock Lesnar,Randy Couture,UFC Heavyweight Title,1
UFC 90: Silva vs Cote,Anderson Silva,Patrick Cote,UFC Middleweight Title,1
UFC 87: Seek And Destroy,Georges St-Pierre,Jon Fitch,UFC Welterweight Title,1
UFC 86: Jackson vs Griffin,Forrest Griffin,Quinton Jackson,UFC Light Heavyweight Title,1
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Amir Sadollah,CB Dollaway,Ultimate Fighter 7 Middleweight Tournament Title,1
UFC 84: Ill Will,BJ Penn,Sean Sherk,UFC Lightweight Title,1
UFC 83: Serra vs St-Pierre 2,Georges St-Pierre,Matt Serra,UFC Welterweight Title,1
UFC 82: Pride of a Champion,Anderson Silva,Dan Henderson,UFC Middleweight Title,1
UFC 81: Breaking Point,Antonio Rodrigo Nogueira,Tim Sylvia,UFC Interim Heavyweight Title,1
UFC 80: Rapid Fire,BJ Penn,Joe Stevenson,UFC Lightweight Title,1
UFC 79: Nemesis,Georges St-Pierre,Matt Hughes,UFC Interim Welterweight Title,1
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Mac Danzig,Tommy Speer,Ultimate Fighter 6 Welterweight Tournament Title,1
UFC 77: Hostile Territory,Anderson Silva,Rich Franklin,UFC Middleweight Title,1
UFC 75: Champion vs Champion,Quinton Jackson,Dan Henderson,UFC Light Heavyweight Title,1
UFC 74: Respect,Randy Couture,Gabriel Gonzaga,UFC Heavyweight Title,1
UFC 73: Stacked,Anderson Silva,Nate Marquardt,UFC Middleweight Title,1
UFC 73: Stacked,Sean Sherk,Hermes Franca,UFC Lightweight Title,1
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Nate Diaz,Manvel Gamburyan,Ultimate Fighter 5 Lightweight Tournament Title,1
UFC 71: Liddell vs Jackson,Quinton Jackson,Chuck Liddell,UFC Light Heavyweight Title,1
UFC 69: Shootout,Matt Serra,Georges St-Pierre,UFC Welterweight Title,1
UFC 68: The Uprising,Randy Couture,Tim Sylvia,UFC Heavyweight Title,1
UFC 66: Liddell vs Ortiz 2,Chuck Liddell,Tito Ortiz,UFC Light Heavyweight Title,1
UFC 65: Bad Intentions,Georges St-Pierre,Matt Hughes,UFC Welterweight Title,1
UFC 65: Bad Intentions,Tim Sylvia,Jeff Monson,UFC Heavyweight Title,1
The Ultimate Fighter: The Comeback Finale,Matt Serra,Chris Lytle,Ultimate Fighter 4 Welterweight Tournament Title,1
The Ultimate Fighter: The Comeback Finale,Travis Lutter,Patrick Cote,Ultimate Fighter 4 Middleweight Tournament Title,1
UFC 64: Unstoppable,Anderson Silva,Rich Franklin,UFC Middleweight Title,1
UFC 64: Unstoppable,Sean Sherk,Kenny Florian,UFC Lightweight Title,1
UFC 63: Hughes vs Penn,Matt Hughes,BJ Penn,UFC Welterweight Title,1
UFC 62: Liddell vs Sobral,Chuck Liddell,Renato Sobral,UFC Light Heavyweight Title,1
UFC 61: Bitter Rivals,Tim Sylvia,Andrei Arlovski,UFC Heavyweight Title,1
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Michael Bisping,Josh Haynes,Ultimate Fighter 3 Light Heavyweight Tournament Title,1
The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,Kendall Grove,Ed Herman,Ultimate Fighter 3 Middleweight Tournament Title,1
UFC 59: Reality Check,Tim Sylvia,Andrei Arlovski,UFC Heavyweight Title,1
UFC 58: USA vs Canada,Rich Franklin,David Loiseau,UFC Middleweight Title,1
UFC 57: Liddell vs Couture 3,Chuck Liddell,Randy Couture,UFC Light Heavyweight Title,1
UFC 56: Full Force,Rich Franklin,Nate Quarry,UFC Middleweight Title,1
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,Rashad Evans,Brad Imes,Ultimate Fighter 2 Heavyweight Tournament Title,1
The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,Joe Stevenson,Luke Cummo,Ultimate Fighter 2 Welterweight Tournament Title,1
UFC 55: Fury,Andrei Arlovski,Paul Buentello,UFC Heavyweight Title,1
UFC 54: Boiling Point,Chuck Liddell,Jeremy Horn,UFC Light Heavyweight Title,1
UFC 53: Heavy Hitters,Andrei Arlovski,Justin Eilers,UFC Interim Heavyweight Title,1
UFC 53: Heavy Hitters,Rich Franklin,Evan Tanner,UFC Middleweight Title,1
UFC 52: Couture vs Liddell 2,Chuck Liddell,Randy Couture,UFC Light Heavyweight Title,1
UFC 52: Couture vs Liddell 2,Matt Hughes,Frank Trigg,UFC Welterweight Title,1
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Forrest Griffin,Stephan Bonnar,Ultimate Fighter 1 Light Heavyweight Tournament Title,1
The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Diego Sanchez,Kenny Florian,Ultimate Fighter 1 Middleweight Tournament Title,1
UFC 51: Super Saturday,Andrei Arlovski,Tim Sylvia,UFC Interim Heavyweight Title,1
UFC 51: Super Saturday,Evan Tanner,David Terrell,UFC Middleweight Title,1
UFC 50: The War Of '04,Matt Hughes,Georges St-Pierre,UFC Welterweight Title,1
UFC 49: Unfinished Business,Randy Couture,Vitor Belfort,UFC Light Heavyweight Title,1
UFC 48: Payback,Frank Mir,Tim Sylvia,UFC Heavyweight Title,1
UFC 46: Supernatural,Vitor Belfort,Randy Couture,UFC Light Heavyweight Title,1
UFC 46: Supernatural,BJ Penn,Matt Hughes,UFC Welterweight Title,1
UFC 45: Revolution,Matt Hughes,Frank Trigg,UFC Welterweight Title,1
UFC 44: Undisputed,Randy Couture,Tito Ortiz,UFC Light Heavyweight Title,1
UFC 44: Undisputed,Tim Sylvia,Gan McGee,UFC Heavyweight Title,1
UFC 43: Meltdown,Randy Couture,Chuck Liddell,UFC Interim Light Heavyweight Title,1
UFC 42: Sudden Impact,Matt Hughes,Sean Sherk,UFC Welterweight Title,1
UFC 41: Onslaught,Tim Sylvia,Ricco Rodriguez,UFC Heavyweight Title,1
UFC 40: Vendetta,Tito Ortiz,Ken Shamrock,UFC Light Heavyweight Title,1
UFC 40: Vendetta,Matt Hughes,Gil Castillo,UFC Welterweight Title,1
UFC 39: The Warriors Return,Ricco Rodriguez,Randy Couture,UFC Heavyweight Title,1
UFC 38: Brawl at the Hall,Matt Hughes,Carlos Newton,UFC Welterweight Title,1
UFC 37: High Impact,Murilo Bustamante,Matt Lindland,UFC Middleweight Title,1
UFC 36: Worlds Collide,Josh Barnett,Randy Couture,UFC Heavyweight Title,1
UFC 36: Worlds Collide,Matt Hughes,Hayato Sakurai,UFC Welterweight Title,1
UFC 35: Throwdown,Jens Pulver,BJ Penn,UFC Lightweight Title,1
UFC 35: Throwdown,Murilo Bustamante,Dave Menne,UFC Middleweight Title,1
UFC 34: High Voltage,Randy Couture,Pedro Rizzo,UFC Heavyweight Title,1
UFC 34: High Voltage,Matt Hughes,Carlos Newton,UFC Welterweight Title,1
UFC 33: Victory in Vegas,Tito Ortiz,Vladimir Matyushenko,UFC Light Heavyweight Title,1
UFC 33: Victory in Vegas,Jens Pulver,Dennis Hallman,UFC Lightweight Title,1
UFC 33: Victory in Vegas,Dave Menne,Gil Castillo,UFC Middleweight Title,1
UFC 32: Showdown in the Meadowlands,Tito Ortiz,Elvis Sinosic,UFC Light Heavyweight Title,1
UFC 31: Locked and Loaded,Randy Couture,Pedro Rizzo,UFC Heavyweight Title,1
UFC 31: Locked and Loaded,Carlos Newton,Pat Miletich,UFC Welterweight Title,1
UFC 30: Battle on the Boardwalk,Tito Ortiz,Evan Tanner,UFC Light Heavyweight Title,1
UFC 30: Battle on the Boardwalk,Jens Pulver,Caol Uno,UFC Lightweight Title,1
UFC 29: Defense of the Belts,Tito Ortiz,Yuki Kondo,UFC Light Heavyweight Title,1
UFC 29: Defense of the Belts,Pat Miletich,Kenichi Yamamoto,UFC Welterweight Title,1
UFC 28: High Stakes,Randy Couture,Kevin Randleman,UFC Heavyweight Title,1
UFC 26: Ultimate Field Of Dreams,Kevin Randleman,Pedro Rizzo,UFC Heavyweight Title,1
UFC 26: Ultimate Field Of Dreams,Pat Miletich,John Alessio,UFC Welterweight Title,1
UFC 25: Ultimate Japan 3,Tito Ortiz,Wanderlei Silva,UFC Light Heavyweight Title,1
UFC 23: Ultimate Japan 2,Kevin Randleman,Pete Williams,UFC Heavyweight Title,1
UFC 23: Ultimate Japan 2,Kenichi Yamamoto,Katsuhisa Fujii,Ultimate Japan 2 Heavyweight Tournament Title,1
UFC 22: Only One Can be Champion,Frank Shamrock,Tito Ortiz,UFC Light Heavyweight Title,1
UFC 21: Return of the Champions,Pat Miletich,Andre Pederneiras,UFC Welterweight Title,1
UFC 20: Battle for the Gold,Bas Rutten,Kevin Randleman,UFC Heavyweight Title,1
UFC 18: The Road to the Heavyweight Title,Pat Miletich,Jorge Patino,UFC Welterweight Title,1
UFC - Ultimate Brazil,Frank Shamrock,John Lober,UFC Light Heavyweight Title,1
UFC - Ultimate Brazil,Pat Miletich,Mikey Burnett,UFC Welterweight Title,1
UFC 17: Redemption,Frank Shamrock,Jeremy Horn,UFC Light Heavyweight Title,1
UFC 17: Redemption,Dan Henderson,Carlos Newton,UFC 17 Middleweight Tournament Title,1
UFC 16: Battle in the Bayou,Frank Shamrock,Igor Zinoviev,UFC Light Heavyweight Title,1
UFC - Ultimate Japan,Randy Couture,Maurice Smith,UFC Heavyweight Title,1
UFC - Ultimate Japan,Kazushi Sakuraba,Marcus Silveira,Ultimate Japan Heavyweight Tournament Title,1
UFC - Ultimate Japan,Frank Shamrock,Kevin Jackson,UFC Light Heavyweight Title,1
UFC 15: Collision Course,Maurice Smith,David Abbott,UFC Heavyweight Title,1
UFC 15: Collision Course,Mark Kerr,Dwayne Cason,UFC 15 Heavyweight Tournament Title,1
UFC 14: Showdown,Maurice Smith,Mark Coleman,UFC Heavyweight Title,1
UFC 14: Showdown,Mark Kerr,Dan Bobish,UFC 14 Heavyweight Tournament Title,1
UFC 14: Showdown,Kevin Jackson,Tony Fryklund,UFC 14 Middleweight Tournament Title,1
UFC 13: The Ultimate Force,Randy Couture,Steven Graham,UFC 13 Heavyweight Tournament Title,1
UFC 13: The Ultimate Force,Guy Mezger,Tito Ortiz,UFC 13 Lightweight Tournament Title,1
UFC 12: Judgement Day,Mark Coleman,Dan Severn,UFC Heavyweight Title,1
UFC - Ultimate Ultimate '96,Don Frye,David Abbott,Ultimate Ultimate '96 Tournament Title,1
UFC 10: The Tournament,Mark Coleman,Don Frye,UFC 10 Tournament Title,1
UFC 8: David vs Goliath,Don Frye,Gary Goodridge,UFC 8 Tournament Title,1
UFC - Ultimate Ultimate '95,Dan Severn,Oleg Taktarov,Ultimate Ultimate '95 Tournament Title,1
UFC 7: The Brawl in Buffalo,Marco Ruas,Paul Varelans,UFC 7 Tournament Title,1
UFC 6: Clash of the Titans,Oleg Taktarov,David Abbott,UFC 6 Tournament Title,1
UFC 5: The Return of the Beast,Dan Severn,Dave Beneteau,UFC 5 Tournament Title,1
UFC 4: Revenge of the Warriors,Royce Gracie,Dan Severn,UFC 4 Tournament Title,1
UFC 3: The American Dream,Steve Jennum,Harold Howard,UFC 3 Tournament Title,1
UFC 2: No Way Out,Royce Gracie,Patrick Smith,UFC 2 Tournament Title,1
