event_name,r_fighter,b_fighter,weight_class,is_title_bout
UFC 258: Usman vs. Burns,Kamaru Usman,Gilbert Burns,UFC Welterweight Title,1
UFC 255: Figueiredo vs. Perez,Deiveson Figueiredo,Alex Perez,UFC Flyweight Title,1
UFC 255: Figueiredo vs. Perez,Valentina Shevchenko,Jennifer Maia,UFC Women's Flyweight Title,1
UFC 254: Khabib vs. Gaethje,Khabib Nurmagomedov,Justin Gaethje,UFC Lightweight Title,1
UFC 253: Adesanya vs. Costa,Israel Adesanya,Paulo Costa,UFC Middleweight Title,1
UFC 253: Adesanya vs. Costa,Dominick Reyes,Jan Blachowicz,UFC Light Heavyweight Title,1
UFC 252: Miocic vs. Cormier 3,Stipe Miocic,Daniel Cormier,UFC Heavyweight Title,1
UFC Fight Night: Figueiredo vs. Benavidez 2,Deiveson Figueiredo,Joseph Benavidez,UFC Flyweight Title,1
UFC 251: Usman vs. Masvidal,Kamaru Usman,Jorge Masvidal,UFC Welterweight Title,1
UFC 251: Usman vs. Masvidal,Alexander Volkanovski,Max Holloway,UFC Featherweight Title,1
UFC 251: Usman vs. Masvidal,Petr Yan,Jose Aldo,UFC Bantamweight Title,1
UFC 250: Nunes vs. Spencer,Amanda Nunes,Felicia Spencer,UFC Women's Featherweight Title,1
UFC 249: Ferguson vs. Gaethje,Tony Ferguson,Justin Gaethje,UFC Interim Lightweight Title,1
UFC 249: Ferguson vs. Gaethje,Henry Cejudo,Dominick Cruz,UFC Bantamweight Title,1
UFC 248: Adesanya vs. Romero,Israel Adesanya,Yoel Romero,UFC Middleweight Title,1
UFC 248: Adesanya vs. Romero,Zhang Weili,Joanna Jedrzejczyk,UFC Women's Strawweight Title,1
UFC 247: Jones vs. Reyes,Jon Jones,Dominick Reyes,UFC Light Heavyweight Title,1
UFC 247: Jones vs. Reyes,Valentina Shevchenko,Katlyn Cerminara,UFC Women's Flyweight Title,1
UFC 245: Usman vs. Covington,Kamaru Usman,Colby Covington,UFC Welterweight Title,1
UFC 245: Usman vs. Covington,Max Holloway,Alexander Volkanovski,UFC Featherweight Title,1
UFC 245: Usman vs. Covington,Amanda Nunes,Germaine de Randamie,UFC Women's Bantamweight Title,1
UFC 243: Whittaker vs. Adesanya,Robert Whittaker,Israel Adesanya,UFC Middleweight Title,1
UFC 242: Khabib vs. Poirier,Khabib Nurmagomedov,Dustin Poirier,UFC Lightweight Title,1
UFC Fight Night: Andrade vs. Zhang,Jessica Andrade,Zhang Weili,UFC Women's Strawweight Title,1
UFC 241: Cormier vs. Miocic 2,Daniel Cormier,Stipe Miocic,UFC Heavyweight Title,1
UFC Fight Night: Shevchenko vs. Carmouche 2,Valentina Shevchenko,Liz Carmouche,UFC Women's Flyweight Title,1
UFC 240: Holloway vs. Edgar,Max Holloway,Frankie Edgar,UFC Featherweight Title,1
UFC 239: Jones vs. Santos,Jon Jones,Thiago Santos,UFC Light Heavyweight Title,1
UFC 239: Jones vs. Santos,Amanda Nunes,Holly Holm,UFC Women's Bantamweight Title,1
UFC 238: Cejudo vs. Moraes,Henry Cejudo,Marlon Moraes,UFC Bantamweight Title,1
UFC 238: Cejudo vs. Moraes,Valentina Shevchenko,Jessica Eye,UFC Women's Flyweight Title,1
UFC 237: Namajunas vs. Andrade,Rose Namajunas,Jessica Andrade,UFC Women's Strawweight Title,1
UFC 236: Holloway vs. Poirier 2,Max Holloway,Dustin Poirier,UFC Interim Lightweight Title,1
UFC 236: Holloway vs. Poirier 2,Kelvin Gastelum,Israel Adesanya,UFC Interim Middleweight Title,1
UFC 235: Jones vs. Smith,Jon Jones,Anthony Smith,UFC Light Heavyweight Title,1
UFC 235: Jones vs. Smith,Tyron Woodley,Kamaru Usman,UFC Welterweight Title,1
UFC Fight Night: Cejudo vs. Dillashaw,Henry Cejudo,TJ Dillashaw,UFC Flyweight Title,1
UFC 232: Jones vs. Gustafsson 2,Jon Jones,Alexander Gustafsson,UFC Light Heavyweight Title,1
UFC 232: Jones vs. Gustafsson 2,Cristiane Justino,Amanda Nunes,UFC Women's Featherweight Title,1
UFC 231: Holloway vs. Ortega,Max Holloway,Brian Ortega,UFC Featherweight Title,1
UFC 231: Holloway vs. Ortega,Valentina Shevchenko,Joanna Jedrzejczyk,UFC Women's Flyweight Title,1
The Ultimate Fighter: Heavy Hitters Finale,Juan Espino,Justin Frazier,Ultimate Fighter 28 Heavyweight Tournament Title,1
The Ultimate Fighter: Heavy Hitters Finale,Pannie Kianzad,Macy Chiasson,Ultimate Fighter 28 Women's Featherweight Tournament Title,1
UFC 230: Cormier vs. Lewis,Daniel Cormier,Derrick Lewis,UFC Heavyweight Title,1
UFC 229: Khabib vs. McGregor,Khabib Nurmagomedov,Conor McGregor,UFC Lightweight Title,1
UFC 228: Woodley vs. Till,Tyron Woodley,Darren Till,UFC Welterweight Title,1
UFC 227: Dillashaw vs. Garbrandt 2,TJ Dillashaw,Cody Garbrandt,UFC Bantamweight Title,1
UFC 227: Dillashaw vs. Garbrandt 2,Demetrious Johnson,Henry Cejudo,UFC Flyweight Title,1
UFC 226: Miocic vs. Cormier,Stipe Miocic,Daniel Cormier,UFC Heavyweight Title,1
The Ultimate Fighter: Undefeated Finale,Michael Trizano,Joe Giannetti,Ultimate Fighter 27 Lightweight Tournament Title,1
The Ultimate Fighter: Undefeated Finale,Jay Cucciniello,Brad Katona,Ultimate Fighter 27 Featherweight Tournament Title,1
UFC 225: Whittaker vs. Romero 2,Rafael Dos Anjos,Colby Covington,UFC Interim Welterweight Title,1
UFC 224: Nunes vs. Pennington,Amanda Nunes,Raquel Pennington,UFC Women's Bantamweight Title,1
UFC 223: Khabib vs. Iaquinta,Khabib Nurmagomedov,Al Iaquinta,UFC Lightweight Title,1
UFC 223: Khabib vs. Iaquinta,Rose Namajunas,Joanna Jedrzejczyk,UFC Women's Strawweight Title,1
UFC 222: Cyborg vs. Kunitskaya,Cristiane Justino,Yana Santos,UFC Women's Featherweight Title,1
UFC 220: Miocic vs. Ngannou,Stipe Miocic,Francis Ngannou,UFC Heavyweight Title,1
UFC 220: Miocic vs. Ngannou,Daniel Cormier,Volkan Oezdemir,UFC Light Heavyweight Title,1
UFC 219: Cyborg vs. Holm,Cristiane Justino,Holly Holm,UFC Women's Featherweight Title,1
UFC 218: Holloway vs. Aldo 2,Max Holloway,Jose Aldo,UFC Featherweight Title,1
The Ultimate Fighter: A New World Champion Finale,Nicco Montano,Roxanne Modafferi,UFC Women's Flyweight Title,1
UFC 217: Bisping vs. St-Pierre,Michael Bisping,Georges St-Pierre,UFC Middleweight Title,1
UFC 217: Bisping vs. St-Pierre,Cody Garbrandt,TJ Dillashaw,UFC Bantamweight Title,1
UFC 217: Bisping vs. St-Pierre,Joanna Jedrzejczyk,Rose Namajunas,UFC Women's Strawweight Title,1
UFC 216: Ferguson vs. Lee,Tony Ferguson,Kevin Lee,UFC Interim Lightweight Title,1
UFC 216: Ferguson vs. Lee,Demetrious Johnson,Ray Borg,UFC Flyweight Title,1
UFC 215: Nunes vs Shevchenko 2,Amanda Nunes,Valentina Shevchenko,UFC Women's Bantamweight Title,1
UFC 214: Cormier vs. Jones 2,Tyron Woodley,Demian Maia,UFC Welterweight Title,1
UFC 214: Cormier vs. Jones 2,Cristiane Justino,Tonya Evinger,UFC Women's Featherweight Title,1
UFC 213: Romero vs. Whittaker,Yoel Romero,Robert Whittaker,UFC Interim Middleweight Title,1
The Ultimate Fighter: Redemption Finale,Dhiego Lima,Jesse Taylor,Ultimate Fighter 25 Welterweight Tournament Title,1
UFC 212: Aldo vs. Holloway,Jose Aldo,Max Holloway,UFC Featherweight Title,1
UFC 211: Miocic vs. Dos Santos,Stipe Miocic,Junior Dos Santos,UFC Heavyweight Title,1
UFC 211: Miocic vs. Dos Santos,Joanna Jedrzejczyk,Jessica Andrade,UFC Women's Strawweight Title,1
UFC on FOX: Johnson vs. Reis,Demetrious Johnson,Wilson Reis,UFC Flyweight Title,1
UFC 210: Cormier vs. Johnson 2,Daniel Cormier,Anthony Johnson,UFC Light Heavyweight Title,1
UFC 209: Woodley vs. Thompson 2,Tyron Woodley,Stephen Thompson,UFC Welterweight Title,1
UFC 208: Holm vs. De Randamie,Holly Holm,Germaine de Randamie,UFC Women's Featherweight Title,1
UFC 207: Nunes vs. Rousey,Amanda Nunes,Ronda Rousey,UFC Women's Bantamweight Title,1
UFC 207: Nunes vs. Rousey,Dominick Cruz,Cody Garbrandt,UFC Bantamweight Title,1
UFC 206: Holloway vs. Pettis,Max Holloway,Anthony Pettis,UFC Interim Featherweight Title,1
The Ultimate Fighter: Tournament of Champions Finale,Demetrious Johnson,Tim Elliott,UFC Flyweight Title,1
UFC 205: Alvarez vs McGregor,Eddie Alvarez,Conor McGregor,UFC Lightweight Title,1
UFC 205: Alvarez vs McGregor,Joanna Jedrzejczyk,Karolina Kowalkiewicz,UFC Women's Strawweight Title,1
UFC Fight Night: Dos Anjos vs. Ferguson,Martin Bravo,Claudio Puelles,Ultimate Fighter Latin America 3 Lightweight Tournament Title,1
UFC 204: Bisping vs. Henderson,Michael Bisping,Dan Henderson,UFC Middleweight Title,1
UFC 203: Miocic vs. Overeem,Stipe Miocic,Alistair Overeem,UFC Heavyweight Title,1
UFC 201: Lawler vs. Woodley,Robbie Lawler,Tyron Woodley,UFC Welterweight Title,1
UFC 200: Tate vs Nunes,Miesha Tate,Amanda Nunes,UFC Women's Bantamweight Title,1
UFC 200: Tate vs Nunes,Jose Aldo,Frankie Edgar,UFC Interim Featherweight Title,1
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Joanna Jedrzejczyk,Claudia Gadelha,UFC Women's Strawweight Title,1
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Andrew Sanchez,Khalil Rountree Jr.,Ultimate Fighter 23 Light Heavyweight Tournament Title,1
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Tatiana Suarez,Amanda Cooper,Ultimate Fighter 23 Women's Strawweight Tournament Title,1
UFC Fight Night: Dos Anjos vs. Alvarez,Rafael Dos Anjos,Eddie Alvarez,UFC Lightweight Title,1
UFC 199: Rockhold vs. Bisping 2,Luke Rockhold,Michael Bisping,UFC Middleweight Title,1
UFC 199: Rockhold vs. Bisping 2,Dominick Cruz,Urijah Faber,UFC Bantamweight Title,1
UFC 198: Werdum vs Miocic,Fabricio Werdum,Stipe Miocic,UFC Heavyweight Title,1
UFC 197: Jones vs Saint Preux,Jon Jones,Ovince Saint Preux,UFC Interim Light Heavyweight Title,1
UFC 197: Jones vs Saint Preux,Demetrious Johnson,Henry Cejudo,UFC Flyweight Title,1
UFC 196: McGregor vs Diaz,Holly Holm,Miesha Tate,UFC Women's Bantamweight Title,1
UFC Fight Night: Dillashaw vs Cruz,TJ Dillashaw,Dominick Cruz,UFC Bantamweight Title,1
UFC 195: Lawler vs Condit,Robbie Lawler,Carlos Condit,UFC Welterweight Title,1
UFC on FOX: Dos Anjos vs. Cowboy 2,Rafael Dos Anjos,Donald Cerrone,UFC Lightweight Title,1
UFC 194: Aldo vs McGregor,Jose Aldo,Conor McGregor,UFC Featherweight Title,1
UFC 194: Aldo vs McGregor,Chris Weidman,Luke Rockhold,UFC Middleweight Title,1
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,Artem Lobov,Ryan Hall,Ultimate Fighter 22 Lightweight Tournament Title,1
UFC Fight Night: Magny vs Gastelum,Erick Montano,Enrique Marin,Ultimate Fighter Latin America 2 Welterweight Tournament Title,1
UFC Fight Night: Magny vs Gastelum,Horacio Gutierrez,Enrique Barzola,Ultimate Fighter Latin America 2 Lightweight Tournament Title,1
UFC 193: Rousey vs Holm,Ronda Rousey,Holly Holm,UFC Women's Bantamweight Title,1
UFC 193: Rousey vs Holm,Joanna Jedrzejczyk,Valerie Letourneau,UFC Women's Strawweight Title,1
UFC 192: Cormier vs Gustafsson,Daniel Cormier,Alexander Gustafsson,UFC Light Heavyweight Title,1
UFC 191: Johnson vs Dodson 2,Demetrious Johnson,John Dodson,UFC Flyweight Title,1
